address	family	index	addressKind	sourceKinds	labels	readCount	writeCount	charaSeedCount	fileCount	familyOwnerDomain	familyOwnerPath	familyPersistence	familyStatus	mappingAction	sampleEvidence
ABL:15	ABL	15	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 화술	103	8	25	46	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:16 15,화술
ABL:16	ABL	16	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 봉사정신	681	10	23	107	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:17 16,봉사정신
ABL:17	ABL	17	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 5 | 노출벽	317	7	10	64	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:18 17,노출벽
ABL:2	ABL	2	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 5 | V감각	380	19	16	72	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:7 2,V감각
ABL:20	ABL	20	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 새드끼	155	3	14	39	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:21 20,새드끼
ABL:21	ABL	21	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 4 | 마조끼	293	9	3	55	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:22 21,마조끼
ABL:22	ABL	22	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 5 | 레즈끼	136	9	14	36	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:23 22,레즈끼
ABL:23	ABL	23	fixed-index	csvDefinition|erbUsage	BL끼	51	8	0	9	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:24 23,BL끼
ABL:3	ABL	3	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | A감각	337	21	6	51	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:8 3,A감각
ABL:30	ABL	30	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 성교중독	87	6	5	28	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:27 30,성교중독
ABL:31	ABL	31	fixed-index	charaSeed|csvDefinition|erbUsage	2 | 3 | 자위중독	101	4	2	22	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:28 31,자위중독
ABL:32	ABL	32	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 5 | 정액중독	437	6	5	55	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:29 32,정액중독
ABL:33	ABL	33	fixed-index	csvDefinition|erbUsage	레즈중독	85	3	0	15	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:30 33,레즈중독
ABL:37	ABL	37	fixed-index	csvDefinition|erbUsage	매춘중독	79	2	0	13	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:34 37,매춘중독
ABL:38	ABL	38	fixed-index	csvDefinition|erbUsage	사정중독	31	1	0	7	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:35 38,사정중독
ABL:39	ABL	39	fixed-index	csvDefinition|erbUsage	분유중독	58	2	0	10	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:36 39,분유중독
ABL:4	ABL	4	fixed-index	erbUsage		12	0	0	2	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	erbUsage:original-game/ERB/指導関係/COMF24.ERB:227 IF ABL:PLAYER:4 == 0
ABL:40	ABL	40	fixed-index	csvDefinition|erbUsage	수간중독	46	1	0	8	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:37 40,수간중독
ABL:41	ABL	41	fixed-index	csvDefinition|erbUsage	촉수중독	46	1	0	6	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:38 41,촉수중독
ABL:5	ABL	5	fixed-index	erbUsage		6	0	0	3	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	erbUsage:original-game/ERB/イベント関係/BLACKGIRL.ERB:400 SIF ABL:COUNT:11 >= 7 && ABL:COUNT:5 >= 6
ABL:50	ABL	50	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 미용감각	59	10	103	112	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:41 50,미용감각
ABL:51	ABL	51	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 운동능력	86	10	103	112	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:42 51,운동능력
ABL:52	ABL	52	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 학력	55	10	103	108	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:43 52,학력
ABL:61	ABL	61	fixed-index	charaSeed	2	0	0	2	2	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	charaSeed:original-game/CSV/Chara40_庄野そら.csv:21 能力,61,2
ABL:7	ABL	7	fixed-index	erbUsage		1	0	0	1	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	erbUsage:original-game/ERB/指導関係/COMF53.ERB:158 SIF ASSIPLAY == 0 && ABL:7 >= 3
ABL:70	ABL	70	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 5 | 피사기능	51	2	17	32	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:50 70,피사기능
ABL:71	ABL	71	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 10 | 2 | 3 | 4 | 5 | 가창기능	39	2	28	38	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:51 71,가창기능
ABL:72	ABL	72	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 5 | 7 | 무용기능	39	2	21	31	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:52 72,무용기능
ABL:73	ABL	73	fixed-index	charaSeed|csvDefinition|erbUsage	1 | 2 | 3 | 4 | 5 | 요리기능	70	2	14	25	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:53 73,요리기능
ABL:74	ABL	74	fixed-index	charaSeed|erbUsage	1 | 3	1	0	2	3	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	charaSeed:original-game/CSV/Chara89_西方杏子.csv:20 能力,74,3
ABL:79	ABL	79	fixed-index	erbUsage		1	0	0	1	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	erbUsage:original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB:920 S = 3 - ABL:79
ABL:80	ABL	80	fixed-index	csvDefinition	과학지식	0	0	0	1	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:62 80,과학지식
ABL:81	ABL	81	fixed-index	charaSeed|csvDefinition|erbUsage	10 | 2 | 3 | 4 | 5 | 7 | 8 | 9 | 오타쿠지식	85	10	14	20	people	people.characters.*.attributes.abilities	save	needsIndexMapping	map-save-state	csvDefinition:original-game/CSV/Abl.csv:63 81,오타쿠지식
ABLNAME:<dynamic>	ABLNAME	<dynamic>	dynamic-index	erbUsage	A | ARG | LCOUNT | X	9	0	0	4	catalog	catalog.*Definitions	catalog	mapped	definition-only	erbUsage:original-game/ERB/システム関係/INFO.ERB:504 PRINTFORM   %ABLNAME:X%
ABLNAME	ABLNAME		family-declaration	variableSize		0	0	0	1	catalog	catalog.*Definitions	catalog	mapped	definition-only	variableSize:original-game/CSV/VariableSize.CSV:None ABLNAME,1000
ABLNAME:0	ABLNAME	0	fixed-index	csvDefinition|erbUsage	C감각	9	0	0	6	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:5 0,C감각
ABLNAME:1	ABLNAME	1	fixed-index	csvDefinition|erbUsage	B감각	8	0	0	5	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:6 1,B감각
ABLNAME:10	ABLNAME	10	fixed-index	csvDefinition|erbUsage	신뢰	31	0	0	16	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:11 10,신뢰
ABLNAME:11	ABLNAME	11	fixed-index	csvDefinition|erbUsage	욕망	59	0	0	56	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:12 11,욕망
ABLNAME:12	ABLNAME	12	fixed-index	csvDefinition|erbUsage	기교	9	0	0	6	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:13 12,기교
ABLNAME:13	ABLNAME	13	fixed-index	csvDefinition|erbUsage	봉사기술	2	0	0	3	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:14 13,봉사기술
ABLNAME:14	ABLNAME	14	fixed-index	csvDefinition|erbUsage	성교기술	2	0	0	3	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:15 14,성교기술
ABLNAME:15	ABLNAME	15	fixed-index	csvDefinition|erbUsage	화술	2	0	0	3	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:16 15,화술
ABLNAME:16	ABLNAME	16	fixed-index	csvDefinition|erbUsage	봉사정신	43	0	0	40	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:17 16,봉사정신
ABLNAME:17	ABLNAME	17	fixed-index	csvDefinition|erbUsage	노출벽	14	0	0	11	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:18 17,노출벽
ABLNAME:2	ABLNAME	2	fixed-index	csvDefinition|erbUsage	V감각	10	0	0	7	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:7 2,V감각
ABLNAME:20	ABLNAME	20	fixed-index	csvDefinition|erbUsage	새드끼	3	0	0	4	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:21 20,새드끼
ABLNAME:21	ABLNAME	21	fixed-index	csvDefinition|erbUsage	마조끼	10	0	0	7	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:22 21,마조끼
ABLNAME:22	ABLNAME	22	fixed-index	csvDefinition|erbUsage	레즈끼	9	0	0	6	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:23 22,레즈끼
ABLNAME:23	ABLNAME	23	fixed-index	csvDefinition|erbUsage	BL끼	7	0	0	4	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:24 23,BL끼
ABLNAME:3	ABLNAME	3	fixed-index	csvDefinition|erbUsage	A감각	9	0	0	6	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:8 3,A감각
ABLNAME:30	ABLNAME	30	fixed-index	csvDefinition|erbUsage	성교중독	3	0	0	4	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:27 30,성교중독
ABLNAME:31	ABLNAME	31	fixed-index	csvDefinition|erbUsage	자위중독	7	0	0	8	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:28 31,자위중독
ABLNAME:32	ABLNAME	32	fixed-index	csvDefinition|erbUsage	정액중독	28	0	0	29	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:29 32,정액중독
ABLNAME:33	ABLNAME	33	fixed-index	csvDefinition|erbUsage	레즈중독	3	0	0	4	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:30 33,레즈중독
ABLNAME:37	ABLNAME	37	fixed-index	csvDefinition|erbUsage	매춘중독	2	0	0	3	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:34 37,매춘중독
ABLNAME:38	ABLNAME	38	fixed-index	csvDefinition|erbUsage	사정중독	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:35 38,사정중독
ABLNAME:39	ABLNAME	39	fixed-index	csvDefinition|erbUsage	분유중독	2	0	0	3	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:36 39,분유중독
ABLNAME:40	ABLNAME	40	fixed-index	csvDefinition|erbUsage	수간중독	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:37 40,수간중독
ABLNAME:41	ABLNAME	41	fixed-index	csvDefinition|erbUsage	촉수중독	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:38 41,촉수중독
ABLNAME:50	ABLNAME	50	fixed-index	csvDefinition|erbUsage	미용감각	20	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:41 50,미용감각
ABLNAME:51	ABLNAME	51	fixed-index	csvDefinition|erbUsage	운동능력	20	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:42 51,운동능력
ABLNAME:52	ABLNAME	52	fixed-index	csvDefinition|erbUsage	학력	20	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:43 52,학력
ABLNAME:70	ABLNAME	70	fixed-index	csvDefinition|erbUsage	피사기능	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:50 70,피사기능
ABLNAME:71	ABLNAME	71	fixed-index	csvDefinition|erbUsage	가창기능	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:51 71,가창기능
ABLNAME:72	ABLNAME	72	fixed-index	csvDefinition|erbUsage	무용기능	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:52 72,무용기능
ABLNAME:73	ABLNAME	73	fixed-index	csvDefinition|erbUsage	요리기능	1	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:53 73,요리기능
ABLNAME:80	ABLNAME	80	fixed-index	csvDefinition	과학지식	0	0	0	1	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:62 80,과학지식
ABLNAME:81	ABLNAME	81	fixed-index	csvDefinition|erbUsage	오타쿠지식	10	0	0	2	catalog	catalog.*Definitions	catalog	mapped	definition-only	csvDefinition:original-game/CSV/Abl.csv:63 81,오타쿠지식
ARG	ARG		family-declaration	erbUsage|variableSize		216	6	0	50	script	session.script	temporary	excluded	exclude-script-scratch	variableSize:original-game/CSV/VariableSize.CSV:None ARG,1000
ARG:0	ARG	0	script-scratch	erbUsage		5	0	0	1	script	session.script	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/ミッション関係/MISSION.ERB:128 @MISSION_HEADER_PER(ARG:0, ARG:1, ARG:2)
ARG:1	ARG	1	script-scratch	erbUsage		50	2	0	7	script	session.script	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/イベント関係/EVENT_K.ERB:96 @KOJO_LESPLAY,ARG,ARG:1
ARG:2	ARG	2	script-scratch	erbUsage		4	0	0	2	script	session.script	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/ミッション関係/MISSION.ERB:128 @MISSION_HEADER_PER(ARG:0, ARG:1, ARG:2)
ARG:3	ARG	3	script-scratch	erbUsage		3	0	0	1	script	session.script	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/能力上昇関係/ABL_AUTO.ERB:802 @PRINT_AUT_ABLUP(ARG, ARG:1, ARG:2, ARG:3, ARG:4)
ARG:4	ARG	4	script-scratch	erbUsage		5	0	0	1	script	session.script	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/能力上昇関係/ABL_AUTO.ERB:802 @PRINT_AUT_ABLUP(ARG, ARG:1, ARG:2, ARG:3, ARG:4)
ARGS	ARGS		family-declaration	erbUsage|variableSize		77	50	0	4	script	session.script	temporary	excluded	exclude-script-scratch	variableSize:original-game/CSV/VariableSize.CSV:None ARGS,100
ARGS:2	ARGS	2	script-scratch	erbUsage		170	0	0	1	script	session.script	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/ZNAME.ERB:1041 @조사선택(ARGS, ARGS:2)
ASSI	ASSI		family-declaration	erbUsage|variableSize		72	30	0	35	interaction	session.interaction.participants	session	mapped	map-session-state	variableSize:original-game/CSV/VariableSize.CSV:None ASSI,1000
ASSIPLAY	ASSIPLAY		family-declaration	erbUsage|variableSize		398	2	0	89	interaction	session.interaction.participants	session	mapped	map-session-state	variableSize:original-game/CSV/VariableSize.CSV:None ASSIPLAY,1000
B	B		family-declaration	erbUsage|variableSize		2405	1233	0	137	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	variableSize:original-game/CSV/VariableSize.CSV:None B,1000
B:1	B	1	script-scratch	erbUsage		0	1	0	1	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/訪問関係/EUNICE_LABO_DETAIL.ERB:1033 B:1 = 0
B:22	B	22	script-scratch	erbUsage		2	0	0	1	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SYSTEM_IWS.ERB:44 PRINTFORM   B: {BASE:22}cm
B:3	B	3	script-scratch	erbUsage		3	0	0	1	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/ビデオ周り/SPECIAL_TITLE.ERB:42 ELSEIF (TFLAG:180 == 8 && A:3 && B:3 && CFLAG:600 == 10 && CFLAG:602 == 5 && BASE:9 <= 22)
B:<dynamic>	B	<dynamic>	script-scratch	erbUsage	불명	1	0	0	1	script	session.script.numericLocals	temporary	excluded	exclude-script-scratch	erbUsage:original-game/ERB/システム関係/SYSTEM_IWS.ERB:42 PRINTFORM   B: 불명
BASE:<dynamic>	BASE	<dynamic>	dynamic-index	erbUsage	A | B:COUNT | C:COUNT	2	2	0	2	legacy-adapter	legacy.BASE	save	needsIndexMapping	define-pattern-mapping	erbUsage:original-game/ERB/システム関係/SYSTEM_CHARASORT.ERB:390 BASE:C:COUNT = BASE:B:COUNT
BASE	BASE		family-declaration	erbUsage|variableSize		2	0	0	3	legacy-adapter	legacy.BASE	save	needsIndexMapping	map-save-state	variableSize:original-game/CSV/VariableSize.CSV:None BASE,100
