candidate	family	domains	accessKeyCount	totalCount	readCount	writeCount	fileCount	sampleAccessKeys	sampleFiles
ABL:21	ABL	people	7	302	293	9	19	ABL:21, ABL:ASSI:21, ABL:COUNT:21, ABL:LOCAL:21, ABL:PLAYER:21, ABL:f_actor:21, ABL:s_actor:21	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:558 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:559 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:560
SOURCE:12	SOURCE	feature-session	1	300	108	192	10	SOURCE:12	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:907 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:924 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:947
LOSEBASE:1	LOSEBASE	feature-session|body	1	294	34	260	10	LOSEBASE:1	original-game/ERB/システム関係/CHEAT.ERB:987 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:911 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:914
CFLAG:170	CFLAG	people|body|feature-state|world|missingMapping	2	288	276	12	11	CFLAG:170, CFLAG:C_NUM:170	original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB:115 | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB:117 | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB:119
BASE:2	BASE	body|people	5	284	108	176	18	BASE:2, BASE:ASSI:2, BASE:MASTER:2, BASE:PLAYER:2, BASE:TARGET:2	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB:701 | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB:703 | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB:757
SOURCE:8	SOURCE	feature-session	1	272	198	74	10	SOURCE:8	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1403 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1404 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1987
CFLAG:627	CFLAG	people|body|feature-state|world|missingMapping	1	266	258	8	1	CFLAG:627	original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB:9 | original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB:10 | original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB:12
ABL:1	ABL	people	8	254	241	13	19	ABL:1, ABL:ASSI:1, ABL:C:1, ABL:COUNT:1, ABL:D:1, ABL:LOCAL:1, ABL:PLAYER:1, ABL:TARGET:1	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:158 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:161 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:164
PALAMLV:3	PALAMLV	catalog	1	241	241	0	10	PALAMLV:3	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:217 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:220 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:326
CFLAG:41	CFLAG	people|body|feature-state|world|missingMapping	8	239	210	29	18	CFLAG:(LOCAL:4):41, CFLAG:41, CFLAG:ASSI:41, CFLAG:C:41, CFLAG:CNUM:41, CFLAG:COUNT:41, CFLAG:C_NUM:41, CFLAG:D:41	original-game/ERB/システム関係/面接/INTERVIEW.ERB:685 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:691 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:695
CSTR:1	CSTR	text|people|body|missingMapping	10	238	10	228	22	CSTR:(LOCAL:1):1, CSTR:(LOCAL:4):1, CSTR:1, CSTR:ASSI:1, CSTR:COUNT:1, CSTR:C_NUM:1, CSTR:LOCAL:1, CSTR:MASTER:1	original-game/ERB/システム関係/LYCEE.ERB:612 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1232 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1234
SOURCE:10	SOURCE	feature-session	1	238	70	168	10	SOURCE:10	original-game/ERB/システム関係/SEIIN.ERB:100 | original-game/ERB/システム関係/SEIIN.ERB:109 | original-game/ERB/システム関係/SEIIN.ERB:113
TEQUIP:90	TEQUIP	feature-session|interaction|equipment|missingMapping	1	237	235	2	10	TEQUIP:90	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:948 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:888 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:999
PALAMLV:2	PALAMLV	catalog	1	223	223	0	10	PALAMLV:2	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:1772 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:211 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:298
CFLAG:16	CFLAG	people|body|feature-state|world|missingMapping	11	219	140	79	29	CFLAG:(LOCAL:1):16, CFLAG:(LOCAL:4):16, CFLAG:16, CFLAG:ASSI:16, CFLAG:COUNT:16, CFLAG:C_NUM:16, CFLAG:LOCAL:16, CFLAG:MASTER:16	original-game/ERB/システム関係/LYCEE.ERB:605 | original-game/ERB/システム関係/LYCEE.ERB:607 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1224
EXP:1	EXP	people|body|missingMapping	10	213	179	34	18	EXP:(LOCAL:4):1, EXP:1, EXP:C:1, EXP:COUNT:1, EXP:C_NUM:1, EXP:D:1, EXP:L:1, EXP:LOCAL:1	original-game/ERB/システム関係/面接/INTERVIEW.ERB:1685 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1686 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1872
CFLAG:171	CFLAG	people|body|feature-state|world|missingMapping	2	210	192	18	5	CFLAG:171, CFLAG:C_NUM:171	original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB:115 | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB:117 | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB:119
SOURCE:15	SOURCE	feature-session	1	207	117	90	10	SOURCE:15	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:1630 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:2003 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:2004
TFLAG:14	TFLAG	feature-session|interaction|missingMapping	1	205	170	35	10	TFLAG:14	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:888 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:890 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:892
PALAMLV:1	PALAMLV	catalog	1	202	202	0	10	PALAMLV:1	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:209 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:296 | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB:386
ABL:13	ABL	people	4	201	194	7	15	ABL:13, ABL:COUNT:13, ABL:LOCAL:13, ABL:TARGET:13	original-game/ERB/イベント関係/EVENT_PARTICULAR_DAY.ERB:434 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:2692 | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB:527
TEQUIP:89	TEQUIP	feature-session|interaction|equipment|missingMapping	1	194	192	2	10	TEQUIP:89	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:888 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:915 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:1001
CFLAG:15	CFLAG	people|body|feature-state|world|missingMapping	13	186	115	71	28	CFLAG:(LOCAL:4):15, CFLAG:15, CFLAG:ASSI:15, CFLAG:C:15, CFLAG:COUNT:15, CFLAG:C_NUM:15, CFLAG:D:15, CFLAG:LOCAL:15	original-game/ERB/システム関係/面接/INTERVIEW.ERB:1427 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:373 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:379
CSTR:7	CSTR	text|people|body|missingMapping	5	183	61	122	11	CSTR:7, CSTR:COUNT:7, CSTR:C_NUM:7, CSTR:LOCAL:7, CSTR:T:7	original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB:279 | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB:391 | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB:403
TALENT:0	TALENT	people|body|missingMapping	15	182	143	39	35	TALENT:(LOCAL:0):0, TALENT:(LOCAL:4):0, TALENT:0, TALENT:ASSI:0, TALENT:C:0, TALENT:COUNT:0, TALENT:C_NUM:0, TALENT:D:0	original-game/ERB/訪問関係/MIYAKO_LABO.ERB:72 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1420 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1624
FLAG:42	FLAG	world|missingMapping	1	172	168	4	10	FLAG:42	original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB:137 | original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB:139 | original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB:141
MARK:1	MARK	people|body	1	162	158	4	10	MARK:1	original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB:502 | original-game/ERB/イベント関係/SUCCUBUS_STATUS.ERB:31 | original-game/ERB/システム関係/INFO.ERB:557
TFLAG:400	TFLAG	feature-session|interaction|missingMapping	1	161	158	3	1	TFLAG:400	original-game/ERB/システム関係/面接/INTERVIEW.ERB:21 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:23 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:25
BASE:9	BASE	body|people	11	159	146	13	24	BASE:(LOCAL:1):9, BASE:(LOCAL:4):9, BASE:9, BASE:ASSI:9, BASE:COUNT:9, BASE:C_NUM:9, BASE:LOCAL:9, BASE:MASTER:9	original-game/ERB/イベント関係/EVENT_MAEKOJO.ERB:17 | original-game/ERB/イベント関係/EVENT_MAEKOJO.ERB:34 | original-game/ERB/イベント関係/EVENT_MAEKOJO.ERB:41
ABL:20	ABL	people	5	158	155	3	17	ABL:20, ABL:ASSI:20, ABL:PLAYER:20, ABL:TARGET:20, ABL:f_actor:20	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:570 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:571 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:572
TALENT:422	TALENT	people|body|missingMapping	4	146	138	8	17	TALENT:422, TALENT:ARG:422, TALENT:COUNT:422, TALENT:C_NUM:422	original-game/ERB/イベント関係/EVENT_PARTICULAR_DAY.ERB:356 | original-game/ERB/イベント関係/EVENT_PARTICULAR_DAY.ERB:485 | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB:66
ABL:22	ABL	people	9	145	136	9	17	ABL:(LOCAL:1):22, ABL:22, ABL:ASSI:22, ABL:COUNT:22, ABL:LCOUNT:22, ABL:LOCAL:22, ABL:PLAYER:22, ABL:f_actor:22	original-game/ERB/システム関係/LYCEE.ERB:570 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:402 | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:454
CFLAG:130	CFLAG	people|body|feature-state|world|missingMapping	6	143	133	10	10	CFLAG:(후보리스트:0):130, CFLAG:(후보리스트:CNUM):130, CFLAG:130, CFLAG:COUNT:130, CFLAG:J:130, CFLAG:RESULT:130	original-game/ERB/システム関係/SYSTEM_NEWGAME.ERB:370 | original-game/ERB/システム関係/SYSTEM_NEWGAME.ERB:357 | original-game/ERB/システム関係/SYSTEM_NEWGAME.ERB:372
CSTR:0	CSTR	text|people|body|missingMapping	10	141	15	126	22	CSTR:(LOCAL:4):0, CSTR:0, CSTR:ASSI:0, CSTR:C:0, CSTR:COUNT:0, CSTR:C_NUM:0, CSTR:LOCAL:0, CSTR:MASTER:0	original-game/ERB/システム関係/面接/INTERVIEW.ERB:1433 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1435 | original-game/ERB/システム関係/面接/INTERVIEW.ERB:1437
SOURCE:11	SOURCE	feature-session	1	136	32	104	10	SOURCE:11	original-game/ERB/システム関係/SEIIN.ERB:101 | original-game/ERB/システム関係/SEIIN.ERB:110 | original-game/ERB/システム関係/SEIIN.ERB:114
CFLAG:12	CFLAG	people|body|feature-state|world|missingMapping	7	134	114	20	15	CFLAG:12, CFLAG:ARG:12, CFLAG:ASSI:12, CFLAG:CNUM:12, CFLAG:COUNT:12, CFLAG:RESULT:12, CFLAG:TARGET:12	original-game/ERB/システム関係/ORIGINAL.ERB:102 | original-game/ERB/システム関係/ORIGINAL.ERB:157 | original-game/ERB/システム関係/ORIGINAL.ERB:157
TALENT:83	TALENT	people|body|missingMapping	9	134	128	6	22	TALENT:83, TALENT:ASSI:83, TALENT:LOCAL:83, TALENT:MASTER:83, TALENT:PLAYER:83, TALENT:RESULT:83, TALENT:TARGET:83, TALENT:f_actor:83	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:456 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:458 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB:462
SAVESTR:0	SAVESTR	feature-session	1	131	2	129	10	SAVESTR:0	original-game/ERB/指導関係/COMF0.ERB:8 | original-game/ERB/指導関係/COMF1.ERB:18 | original-game/ERB/指導関係/COMF10.ERB:9
CSTR:80	CSTR	text|people|body|missingMapping	5	129	112	17	16	CSTR:80, CSTR:COUNT:80, CSTR:C_NUM:80, CSTR:LOCAL:80, CSTR:MASTER:80	original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB:28 | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB:57 | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB:62
EXP:40	EXP	people|body|missingMapping	7	128	15	113	14	EXP:40, EXP:ASSI:40, EXP:C:40, EXP:D:40, EXP:LOCAL:40, EXP:f_actor:40, EXP:s_actor:40	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:530 | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB:263 | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB:137
TFLAG:899	TFLAG	feature-session	1	128	125	3	10	TFLAG:899	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB:108 | original-game/ERB/イベント関係/EVENT_K.ERB:26 | original-game/ERB/イベント関係/EVENT_K.ERB:43
BASE:31	BASE	body|people	9	127	36	91	27	BASE:(GETCHARA(104)):31, BASE:31, BASE:ASSI:31, BASE:CNUM:31, BASE:COUNT:31, BASE:C_NUM:31, BASE:LOCAL:31, BASE:T:31	original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:190 | original-game/ERB/ミッション関係/キャラ/MISSION_17_KURSTINA.ERB:203 | original-game/ERB/イベント関係/ADD_ANGEL.ERB:120
CSTR:12	CSTR	text|people|body|missingMapping	2	122	3	119	3	CSTR:12, CSTR:TARGET:12	original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB:1132 | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB:1144 | original-game/ERB/イベント関係/SUCCUBUS_STATUS.ERB:207
