key	family	domain	numericSlotCandidate	totalCount	readCount	writeCount	fileCount	topFiles
SOURCE:13	SOURCE	feature-session	SOURCE:13	744	371	373	74	original-game/ERB/指導関係/COMF2.ERB (25) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (24) | original-game/ERB/指導関係/COMF125.ERB (23)
CALLNAME:TARGET	CALLNAME	people|text		718	717	1	61	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (202) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (123) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (36)
PALAM:5	PALAM	body|feature-session	PALAM:5	685	685	0	91	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (61) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (22) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (21)
SOURCE:3	SOURCE	feature-session	SOURCE:3	667	340	327	40	original-game/ERB/指導関係/COMF120.ERB (43) | original-game/ERB/指導関係/COMF121.ERB (42) | original-game/ERB/指導関係/COMF23.ERB (33)
ABL:16	ABL	people	ABL:16	665	655	10	76	original-game/ERB/能力上昇関係/ABLUP16.ERB (26) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (24) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (24)
ABL:12	ABL	people	ABL:12	656	646	10	70	original-game/ERB/指導関係/COMF_VAGINASEX.ERB (60) | original-game/ERB/指導関係/COMF_ANALSEX.ERB (25) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (22)
LOCAL:1	LOCAL	script		656	241	415	68	original-game/ERB/イベント関係/誕生日関係/SHOP_BIRTHDAY.ERB (42) | original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB (36) | original-game/ERB/イベント関係/EVENT_TURNEND.ERB (36)
SOURCE:6	SOURCE	feature-session	SOURCE:6	641	279	362	53	original-game/ERB/指導関係/COMF64.ERB (27) | original-game/ERB/指導関係/COMF83.ERB (27) | original-game/ERB/指導関係/COMF13.ERB (22)
V	V	script		639	328	311	58	original-game/ERB/娼館関係/WORK_S_STRIP.ERB (91) | original-game/ERB/娼館関係/WORK_S_LUNCHSTALL.ERB (86) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (69)
COUNT	COUNT	script		581	561	20	92	original-game/ERB/システム関係/INFO.ERB (101) | original-game/ERB/指導関係/TRAIN_MAIN.ERB (33) | original-game/ERB/システム関係/SYSTEM_CHARASORT.ERB (28)
G	G	script		541	234	307	23	original-game/ERB/システム関係/ビデオ周り/SELL_VIDEO.ERB (123) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (89) | original-game/ERB/娼館関係/WORK_S_LUNCHSTALL.ERB (72)
SOURCE:2	SOURCE	feature-session	SOURCE:2	525	409	116	27	original-game/ERB/指導関係/COMF36.ERB (34) | original-game/ERB/指導関係/COMF19.ERB (33) | original-game/ERB/指導関係/COMF29.ERB (29)
SOURCE:0	SOURCE	feature-session	SOURCE:0	501	264	237	37	original-game/ERB/指導関係/COMF90.ERB (38) | original-game/ERB/指導関係/COMF91.ERB (38) | original-game/ERB/指導関係/COMF125.ERB (37)
L	L	script		492	165	327	49	original-game/ERB/娼館関係/WORK_S_STRIP.ERB (97) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (39) | original-game/ERB/指導関係/COMORDER.ERB (16)
TALENT:122	TALENT	people|body|missingMapping	TALENT:122	490	490	0	126	original-game/ERB/指導関係/COMABLE.ERB (48) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (25) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (17)
LOSEBASE:0	LOSEBASE	feature-session|body	LOSEBASE:0	475	189	286	116	original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (39) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (36) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (27)
CHARANUM	CHARANUM	people		461	461	0	104	original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (26) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (26) | original-game/ERB/システム関係/SHOP_MAIN.ERB (23)
ABL:11	ABL	people	ABL:11	448	437	11	82	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (70) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (26) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (25)
PALAMLV:4	PALAMLV	catalog	PALAMLV:4	436	436	0	101	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (62) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (50) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (10)
ABL:32	ABL	people	ABL:32	432	426	6	47	original-game/ERB/能力上昇関係/ABLUP32.ERB (29) | original-game/ERB/指導関係/COMF66.ERB (19) | original-game/ERB/指導関係/COMF140.ERB (15)
Y	Y	script		432	161	271	41	original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (23) | original-game/ERB/指導関係/COMF30.ERB (14) | original-game/ERB/指導関係/COMF34.ERB (14)
LOCALS:2	LOCALS	script		412	406	6	1	original-game/ERB/ZNAME.ERB (412)
SELECTCOM	SELECTCOM	feature-session		408	389	19	32	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (118) | original-game/ERB/システム関係/PASSOUT.ERB (84) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (75)
ASSIPLAY	ASSIPLAY	feature-session		400	398	2	88	original-game/ERB/指導関係/COMABLE.ERB (70) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (55) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (19)
SOURCE:7	SOURCE	feature-session	SOURCE:7	398	53	345	56	original-game/ERB/指導関係/COMF125.ERB (20) | original-game/ERB/指導関係/COMF3.ERB (13) | original-game/ERB/指導関係/COMF85.ERB (13)
TARGET	TARGET	feature-session		378	152	226	89	original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (39) | original-game/ERB/娼館関係/WORK_S_KBPLAY.ERB (29) | original-game/ERB/システム関係/SHOP_MAIN.ERB (27)
P	P	script		374	311	63	21	original-game/ERB/システム関係/ビデオ周り/SELL_VIDEO.ERB (118) | original-game/ERB/ＡＶ撮影関係/AV_POINTCALC.ERB (91) | original-game/ERB/システム関係/ビデオ周り/SET_VIDEOSALE.ERB (32)
X	X	script		362	266	96	29	original-game/ERB/システム関係/ACTRESS_INFO.ERB (103) | original-game/ERB/システム関係/面接/INTERVIEW.ERB (43) | original-game/ERB/システム関係/衣服/SHOP_TAILOR_UNDER.ERB (34)
F	F	script		356	63	293	38	original-game/ERB/娼館関係/WORK_RECEPTION.ERB (45) | original-game/ERB/システム関係/未使用/JOBNAME.ERB (44) | original-game/ERB/システム関係/ビデオ周り/SELL_VIDEO.ERB (24)
MONEY	MONEY	economy		352	188	164	57	original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (32) | original-game/ERB/訪問関係/SHOP_LABO.ERB (32) | original-game/ERB/訪問関係/SAKURA_AZITO_DETAIL.ERB (28)
CFLAG:42	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:42	350	345	5	22	original-game/ERB/指導関係/COMABLE.ERB (166) | original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (56) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (36)
TALENT:PLAYER:122	TALENT	people|body|missingMapping	TALENT:122	350	350	0	108	original-game/ERB/指導関係/COMABLE.ERB (44) | original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (16) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (12)
TALENT:76	TALENT	people|body|missingMapping	TALENT:76	349	343	6	63	original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (74) | original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (33) | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (26)
SOURCE:14	SOURCE	feature-session	SOURCE:14	348	179	169	97	original-game/ERB/指導関係/COMF13.ERB (24) | original-game/ERB/指導関係/COMF152.ERB (22) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB2.ERB (17)
EXP:0	EXP	people|body|missingMapping	EXP:0	343	326	17	57	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (77) | original-game/ERB/指導関係/COMABLE.ERB (19) | original-game/ERB/指導関係/COMF151.ERB (13)
EJAC	EJAC	interaction|feature-session		342	303	39	36	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (18) | original-game/ERB/指導関係/COMF64.ERB (18) | original-game/ERB/指導関係/COMF66.ERB (18)
PALAM:3	PALAM	body|feature-session	PALAM:3	339	333	6	46	original-game/ERB/指導関係/COMABLE.ERB (23) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (22) | original-game/ERB/指導関係/COMF64.ERB (15)
ABL:2	ABL	people	ABL:2	321	313	8	44	original-game/ERB/能力上昇関係/ABLUP2.ERB (22) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (19) | original-game/ERB/指導関係/COMF11.ERB (16)
SOURCE:17	SOURCE	feature-session	SOURCE:17	313	176	137	31	original-game/ERB/指導関係/COMF90.ERB (32) | original-game/ERB/指導関係/COMF91.ERB (32) | original-game/ERB/指導関係/COMF125.ERB (31)
ABL:0	ABL	people	ABL:0	312	305	7	47	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (25) | original-game/ERB/能力上昇関係/ABLUP0.ERB (19) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (15)
ABL:17	ABL	people	ABL:17	301	294	7	46	original-game/ERB/能力上昇関係/ABLUP17.ERB (26) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (24) | original-game/ERB/指導関係/COMF54.ERB (23)
SOURCE:12	SOURCE	feature-session	SOURCE:12	300	108	192	68	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (25) | original-game/ERB/指導関係/COMF90.ERB (21) | original-game/ERB/指導関係/COMF91.ERB (21)
LOSEBASE:1	LOSEBASE	feature-session|body	LOSEBASE:1	294	34	260	118	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (24) | original-game/ERB/指導関係/COMF54.ERB (12) | original-game/ERB/指導関係/COMF44.ERB (8)
ABL:3	ABL	people	ABL:3	289	281	8	37	original-game/ERB/能力上昇関係/ABLUP3.ERB (21) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (16) | original-game/ERB/指導関係/COMF13.ERB (16)
LOCAL:0	LOCAL	script		289	235	54	3	original-game/ERB/システム関係/面接/NAME.ERB (212) | original-game/ERB/システム関係/面接/INTERVIEW.ERB (76) | original-game/ERB/訪問関係/MIYAKO_LABO.ERB (1)
CFLAG:170	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:170	287	276	11	10	original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB (147) | original-game/ERB/システム関係/衣服/FUNC_SHOES.ERB (61) | original-game/ERB/指導関係/COMABLE.ERB (53)
T	T	script		285	149	136	36	original-game/ERB/システム関係/ビデオ周り/SELL_VIDEO.ERB (102) | original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB (21) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (16)
ABL:21	ABL	people	ABL:21	283	274	9	45	original-game/ERB/能力上昇関係/ABLUP21.ERB (31) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (16) | original-game/ERB/指導関係/COMF44.ERB (12)
TALENT:85	TALENT	people|body|missingMapping	TALENT:85	282	276	6	86	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (59) | original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (25) | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (17)
SOURCE:8	SOURCE	feature-session	SOURCE:8	272	198	74	41	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB2.ERB (17) | original-game/ERB/指導関係/COMF6.ERB (13) | original-game/ERB/指導関係/COMF0.ERB (10)
CFLAG:627	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:627	266	258	8	1	original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB (266)
I	I	script		261	44	217	43	original-game/ERB/娼館関係/WORK_RESULT.ERB (26) | original-game/ERB/システム関係/ORIGINAL.ERB (19) | original-game/ERB/能力上昇関係/ABLUP31.ERB (10)
CALLNAME:MASTER	CALLNAME	people|text		257	257	0	53	original-game/ERB/イベント関係/EVENT_SELL_AFTER.ERB (25) | original-game/ERB/イベント関係/GET_SPECIALTALENT.ERB (24) | original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (23)
CALLNAME:COUNT	CALLNAME	people|text		241	239	2	27	original-game/ERB/イベント関係/EVENT_WORK_MESSAGE_SP.ERB (57) | original-game/ERB/イベント関係/EVENT_PARTICULAR_DAY.ERB (35) | original-game/ERB/イベント関係/NTR関係/MOLESTER_DETAIL.ERB (22)
PALAMLV:3	PALAMLV	catalog	PALAMLV:3	241	241	0	101	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (25) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (12) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (9)
STAIN:PLAYER:2	STAIN	body	STAIN:2	241	163	78	32	original-game/ERB/指導関係/COMABLE.ERB (44) | original-game/ERB/指導関係/COMF126.ERB (11) | original-game/ERB/指導関係/COMF30.ERB (10)
NO:ASSI	NO	people		238	238	0	10	original-game/ERB/システム関係/ビデオ周り/SPECIAL_TITLE.ERB (228) | original-game/ERB/イベント関係/EVENT_PREGNANCY.ERB (2) | original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (1)
SOURCE:10	SOURCE	feature-session	SOURCE:10	238	70	168	37	original-game/ERB/指導関係/COMF43.ERB (20) | original-game/ERB/指導関係/COMF44.ERB (20) | original-game/ERB/指導関係/COMF62.ERB (13)
TEQUIP:90	TEQUIP	feature-session|interaction|equipment|missingMapping	TEQUIP:90	237	235	2	36	original-game/ERB/指導関係/COMABLE.ERB (111) | original-game/ERB/指導関係/USERCOM.ERB (12) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (10)
TALENT:432	TALENT	people|body|missingMapping	TALENT:432	235	229	6	32	original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (109) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (25) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (12)
ABL:1	ABL	people	ABL:1	226	219	7	35	original-game/ERB/能力上昇関係/ABLUP1.ERB (19) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (17) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (15)
PREVCOM	PREVCOM	feature-session		224	223	1	34	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (87) | original-game/ERB/指導関係/COMF31.ERB (14) | original-game/ERB/指導関係/COMF20.ERB (11)
PALAMLV:2	PALAMLV	catalog	PALAMLV:2	223	223	0	100	original-game/ERB/指導関係/COMABLE.ERB (24) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (10) | original-game/ERB/指導関係/COMF125.ERB (5)
ARG	ARG	script		222	216	6	49	original-game/ERB/訪問関係/MIYAKO_LABO.ERB (64) | original-game/ERB/ミッション関係/MISSION.ERB (17) | original-game/ERB/イベント関係/NTR関係/NTR_STAFF.ERB (12)
CFLAG:41	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:41	215	202	13	12	original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (118) | original-game/ERB/システム関係/ビデオ周り/SPECIAL_TITLE.ERB (30) | original-game/ERB/指導関係/COMF110.ERB (20)
N	N	script		215	96	119	16	original-game/ERB/イベント関係/EVENT_AFTERTRAIN.ERB (86) | original-game/ERB/娼館関係/WORK_RESULT.ERB (21) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (18)
BASE:PLAYER:2	BASE	body|people	BASE:2	209	78	131	29	original-game/ERB/指導関係/COMF122.ERB (8) | original-game/ERB/指導関係/COMF123.ERB (8) | original-game/ERB/指導関係/COMF124.ERB (8)
CFLAG:171	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:171	209	192	17	4	original-game/ERB/イベント関係/EVENT_BEFORETRAIN.ERB (148) | original-game/ERB/システム関係/衣服/FUNC_SHOES.ERB (40) | original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (20)
J	J	script		207	103	104	24	original-game/ERB/娼館関係/WORK_RESULT.ERB (26) | original-game/ERB/システム関係/ORIGINAL.ERB (17) | original-game/ERB/能力上昇関係/ABLUP21.ERB (16)
SOURCE:15	SOURCE	feature-session	SOURCE:15	207	117	90	29	original-game/ERB/指導関係/COMF120.ERB (10) | original-game/ERB/指導関係/COMF121.ERB (10) | original-game/ERB/指導関係/COMF128.ERB (10)
R	R	script		205	23	182	17	original-game/ERB/システム関係/衣服/SHOP_TAILOR.ERB (134) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (27) | original-game/ERB/システム関係/SHOP_YUUKAKU.ERB (9)
TFLAG:14	TFLAG	feature-session|interaction|missingMapping	TFLAG:14	205	170	35	16	original-game/ERB/娼館関係/WORK_S_STRIP.ERB (26) | original-game/ERB/指導関係/COMF62.ERB (25) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (20)
CALLNAME:PLAYER	CALLNAME	people|text		203	203	0	19	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (87) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (41) | original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE04_AV_HARDSEX.ERB (12)
NO:COUNT	NO	people		202	202	0	33	original-game/ERB/イベント関係/BLACKGIRL.ERB (79) | original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (21) | original-game/ERB/イベント関係/EVENT_MORNING.ERB (12)
PALAMLV:1	PALAMLV	catalog	PALAMLV:1	202	202	0	98	original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (14) | original-game/ERB/指導関係/COMF125.ERB (5) | original-game/ERB/指導関係/COMF3.ERB (5)
TEQUIP:89	TEQUIP	feature-session|interaction|equipment|missingMapping	TEQUIP:89	194	192	2	36	original-game/ERB/指導関係/COMABLE.ERB (84) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (38) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (8)
EXP:1	EXP	people|body|missingMapping	EXP:1	192	170	22	33	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (26) | original-game/ERB/指導関係/COMF19.ERB (13) | original-game/ERB/指導関係/COMF13.ERB (12)
ABL:13	ABL	people	ABL:13	189	187	2	36	original-game/ERB/能力上昇関係/ABLUP13.ERB (27) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (12) | original-game/ERB/システム関係/SELL_CHARA_ESTIMATE.ERB (11)
FLAG:42	FLAG	world|missingMapping	FLAG:42	172	168	4	10	original-game/ERB/娼館関係/WORK_S_LUNCHSTALL.ERB (41) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (35) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (26)
ARGS:2	ARGS	script		170	170	0	1	original-game/ERB/ZNAME.ERB (170)
MARK:1	MARK	people|body	MARK:1	162	158	4	42	original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (6) | original-game/ERB/指導関係/COMF122.ERB (4) | original-game/ERB/指導関係/COMF123.ERB (4)
TFLAG:400	TFLAG	feature-session|interaction|missingMapping	TFLAG:400	161	158	3	1	original-game/ERB/システム関係/面接/INTERVIEW.ERB (161)
NAME:TARGET	NAME	people|text		157	156	1	49	original-game/ERB/ZNAME.ERB (15) | original-game/ERB/システム関係/SYSTEM_IWS.ERB (12) | original-game/ERB/システム関係/CHEAT.ERB (11)
LOCALS	LOCALS	script		144	42	102	5	original-game/ERB/ZNAME.ERB (94) | original-game/ERB/指導関係/COMSEQ_REGISTER.ERB (22) | original-game/ERB/システム関係/アルバイト関係/ARBEIT.ERB (15)
RESULTS	RESULTS	script|ui-session|save		144	79	65	71	original-game/ERB/システム関係/GENITAL_SLANG.ERB (12) | original-game/ERB/訪問関係/IKUMI_LABO_DETAIL.ERB (9) | original-game/ERB/ZNAME.ERB (8)
TALENT:PLAYER:121	TALENT	people|body|missingMapping	TALENT:121	143	141	2	41	original-game/ERB/指導関係/COMABLE.ERB (39) | original-game/ERB/指導関係/USERCOM.ERB (9) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (6)
ABL:PLAYER:0	ABL	people	ABL:0	140	140	0	26	original-game/ERB/指導関係/COMF122.ERB (10) | original-game/ERB/指導関係/COMF69.ERB (10) | original-game/ERB/指導関係/COMF123.ERB (5)
M	M	script		140	60	80	20	original-game/ERB/システム関係/SYSTEM_BIRTHDAY.ERB (29) | original-game/ERB/システム関係/SYSTEM_SOURCE.ERB (29) | original-game/ERB/システム関係/SHOP_YUUKAKU.ERB (14)
BASE:0	BASE	body|people	BASE:0	139	115	24	20	original-game/ERB/娼館関係/WORK_S_SEXORGY.ERB (23) | original-game/ERB/娼館関係/WORK_S_CONCERT.ERB (13) | original-game/ERB/娼館関係/WORK_S_KBPLAY.ERB (13)
SOURCE:11	SOURCE	feature-session	SOURCE:11	136	32	104	25	original-game/ERB/指導関係/COMF64.ERB (23) | original-game/ERB/指導関係/COMF83.ERB (23) | original-game/ERB/指導関係/COMF59.ERB (12)
TALENT:422	TALENT	people|body|missingMapping	TALENT:422	135	129	6	22	original-game/ERB/システム関係/ビデオ周り/VIDEO_TITLE.ERB (69) | original-game/ERB/システム関係/INFO.ERB (10) | original-game/ERB/ＡＶ撮影関係/撮影シーン関連/SCENE04_AV_HARDSEX.ERB (9)
Q	Q	script		133	28	105	12	original-game/ERB/娼館関係/WORK_S_LUNCHSTALL.ERB (25) | original-game/ERB/娼館関係/WORK_S_KBPLAY.ERB (19) | original-game/ERB/娼館関係/WORK_S_STRIP.ERB (19)
CFLAG:16	CFLAG	people|body|feature-state|world|missingMapping	CFLAG:16	132	75	57	31	original-game/ERB/システム関係/初体験/FIRSTKISS_DETAIL.ERB (21) | original-game/ERB/娼館関係/WORK_RECEPTION.ERB (20) | original-game/ERB/システム関係/SYSTEM_SOURCE_SUB1.ERB (13)
CSTR:LOCAL:7	CSTR	text|people|body|missingMapping	CSTR:7	131	10	121	2	original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC2.ERB (121) | original-game/ERB/クリアボーナス関係/CLEARBONUS_BOYFRIEND.ERB (10)
SAVESTR:0	SAVESTR	feature-session	SAVESTR:0	131	2	129	117	original-game/ERB/指導関係/COMF100.ERB (2) | original-game/ERB/指導関係/COMF11.ERB (2) | original-game/ERB/指導関係/COMF120.ERB (2)
TFLAG:899	TFLAG	feature-session	TFLAG:899	128	125	3	11	original-game/ERB/指導関係/COMABLE.ERB (37) | original-game/ERB/システム関係/PASSOUT.ERB (29) | original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_A.ERB (27)
ARGS	ARGS	script		127	77	50	3	original-game/ERB/ZNAME.ERB (112) | original-game/ERB/指導関係/COMSEQ_REGISTER.ERB (9) | original-game/ERB/組み込み関数/FUNCTIONS.ERB (6)
LOCAL:2	LOCAL	script		126	61	65	25	original-game/ERB/システム関係/LYCEE.ERB (20) | original-game/ERB/イベント関係/NTR関係/BOYFRIEND.ERB (12) | original-game/ERB/ミッション関係/キャラ/MISSION_20_NEWGENERATION.ERB (12)
TALENT:121	TALENT	people|body|missingMapping	TALENT:121	126	122	4	34	original-game/ERB/イベント関係/EVENT_TRAIN_MESSAGE_B.ERB (24) | original-game/ERB/システム関係/衣服/FUNC_CLOTH.ERB (19) | original-game/ERB/指導関係/COMABLE.ERB (10)
CSTR:ARG:LNAMENO	CSTR	text|people|body|missingMapping		125	0	125	1	original-game/ERB/イベント関係/NTR関係/BOYFRIENDNAME_CALC.ERB (125)
